ESTADOS;ACTION_USE;ACTION_UP;ACTION_DOWN;ACTION_LEFT;ACTION_RIGHT;
POSICION_PERFECTA;"98,05036371439661";"93,98696174695073";"64,64538948487";"79,85103017570992";"88,44809427234041";
POSICION_SEGURA;"62,84279787739799";"51,020683635841245";"75,16634539819458";"53,489331025762475";"73,82717419181657";
POSICION_NO_SEGURA;"57,272434575014294";"91,11869637160414";"95,74245264907584";"52,758225103403376";"88,93534201220672";
TRANSICION_POSITIVA;"72,59129377747267";"55,09481869782152";"91,76624348718852";"52,63984402956121";"50,52195171351946";
TRANSICION_NEGATIVA;"-21,989091165682993";"-15,601559823558073";"-11,991227329466462";"28,83044632103414";"-25,06501618507529";
REDUCE_DIST_INFECTADO;"98,09604490688422";"86,86742882876915";"73,8760770467805";"55,922044470131084";"98,25397171879978";
AUMENTA_DIST_INFECTADO;"54,89150217972734";"70,05025619791904";"97,24617748350035";"55,31035139008957";"81,32609511056599";
REDUCE_INFECTADOS;"75,84845133241694";"81,18084812384822";"93,21660855628568";"62,74233441168238";"59,361471523744584";
INFECTADO_CERCA;"236,2076957169443";"58,00081899010624";"59,19730126010968";"59,71129985854266";"58,89645033435093";
NIL;"54,13085520116039";"92,57700072402474";"61,48010740024343";"50,73959918941357";"75,33902934632654";
